Golf Challenge Pebble Beach|Bandai|NES-PG-USA|C+
Golf Power: Greg Norman|Virgin|NES-GP-USA|B+
Golgo 13: Top Secret Episode|Vic Tokai|NES-G3-USA|D
Goonies II, The|Konami|NES-GU-USA|C+
Gotcha: The Sport!|LJN|NES-GC-USA|C
Gradius|Konami|NES-GR-USA|C-
Great Waldo Search, The|T*HQ|NES-GH-USA|B-
Gremlins 2: The New Batch|Sunsoft|NES-2Z-USA|B-
Guardian Legend, The|Broderbund|NES-GD-USA|C+
Guerrilla War|SNK|NES-GW-USA|C
Gum Shoe|Nintendo|none|C+
Gun-Nac|Ascii|NES-XG-USA|B
Gun.Smoke (cowboy in front of town)|Capcom|NES-GK-USA|B-
Gun.Smoke (red shadow of cowboy)|Capcom|NES-GK-USA|B-
Gyromite|Nintendo|none|E
Gyruss|Ultra|NES-YS-USA|C+
Harlem Globetrotters|Gametek|NES-QH-USA|B
Hatris|Bullet Proof|NES-JZ-USA|A
Heavy Barrel|Data East|NES-HV-USA|C
Heavy Shreddin'|Parker Brothers|NES-WX-USA|B-
Heroes of the Lance: Advanced Dungeons & Dragons|FCI|NES-LQ-USA|C
Heroes of the Lance: Advanced Dungeons & Dragons|FCI|NES-LQ-USA-1|C
High Speed|Tradewest|NES-8H-USA|B-
Hillsfar: Advanced Dungeons & Dragons|FCI|NES-QQ-USA|B
Hogan's Alley|Nintendo|none|D
Hogan's Alley|Nintendo|NES-HA-USA|D
Hollywood Squares|Gametek|NES-HL-USA|B+
Home Alone|T*HQ|NES-6N-USA|B-
Home Alone 2: Lost in New York|T*HQ|NES-HM-USA|B-
Hook|Imagesoft|NES-7Q-USA|B
Hoops|Jaleco|NES-2B-USA|D
Hot Slots|Panesian|Unlicensed|A+
Hudson Hawk|Imagesoft|NES-Y4-USA|B
Hunt for Red October, The|Hi Tech|NES-7H-USA|C
Hydlide|FCI|NES-HS-USA|D
Ice Climber|Nintendo|none|C+
Ice Climber|Nintendo|NES-IC-USA|C+
Ice Hockey|Nintendo|NES-HY-USA|D
Ikari Warriors|SNK|NES-IW-USA|C-
Ikari Warriors II: Victory Road|SNK|NES-VR-USA|C-
Ikari Warriors III: The Rescue|SNK|NES-3D-USA|B-
Image Fight|Irem|NES-F9-USA|B
Immortal, The|Electronic Arts|NES-E8-USA|B
Impossible Mission 2 (black)|American Video|Unlicensed|A-
Impossible Mission 2 (black)(b&w label)|SEI|Unlicensed|B+
Impossible Mission 2 (black)(color label)|SEI/EPYX|Unlicensed|B+
Incredible Crash Dummies, The|LJN|NES-CQ-USA|B
Indiana Jones and the Last Crusade(white end)|Taito|NES-J5-USA|B+
Indiana Jones and the Last Crusade(blue end)|UBI Soft|NES-LR-USA|B+
Indiana Jones and the Temple of Doom|Mindscape|NES-IJ-USA|C
Indiana Jones and the Temple of Doom (black)|Tengen|Unlicensed|B-
Infiltrator|Mindscape|NES-IF-USA|B
Iron Tank: The Invasion of Normandy|SNK|NES-IT-USA|C
Isolated Warrior|NTVIC|NES-W6-USA|B
Ivan "Ironman" Stewart's Super Off-Road|Tradewest|NES-WU-USA|C-
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf|Konami|NES-JC-USA|B-
Jackal|Konami|NES-JK-USA|C
Jackie Chan's Action Kung Fu|Hudson|NES-V5-USA|B
James Bond Jr.|T*HQ|NES-JB-USA|B-
Jaws|LJN|NES-JA-USA|D
Jeopardy!|Gametek|NES-JP-USA|C
Jeopardy! 25th Anniversary Edition|Gametek|NES-J3-USA|C+
Jeopardy! Junior Edition|Gametek|NES-J2-USA|C
Jeopardy!, Talking Super|Gametek|NES-7J-USA|B
Jetsons, The: Cogswell's Caper|Taito|NES-JN-USA|B+
Jim Henson's Muppet Adventure: Chaos at the Carnival|Hi Tech|NES-UA-USA|B
Jimmy Connors Tennis|UBI Soft|NES-JT-USA|B+
Joe & Mac|Data East|NES-CJ-USA|B+
John Elway's Quarterback|Tradewest|NES-JQ-USA|D
Jordan vs Bird: One on One|Milton Bradley|NES-OE-USA|C
Joshua & the Battle of Jericho (black) v5.0|Wisdom Tree|Unlicensed|B+
Joshua & the Battle of Jericho (black) v6.0|Wisdom Tree|Unlicensed|B+
Journey to Silius|Sunsoft|NES-4S-USA|C+
Joust|HAL|NES-JU-USA|B
Jungle Book, The|Virgin|NES-JJ-USA|A-
Jurassic Park|Ocean|NES-J9-USA|B
Kabuki Quantum Fighter|HAL|NES-3K-USA|B
Karate Champ|Data East|NES-KC-USA|C
Karate Kid, The|LJN|NES-KK-USA|C
Karnov|Data East|NES-KV-USA|C
Kick Master|Taito|NES-8K-USA|C+
Kickle Cubicle|Irem|NES-QC-USA|B+
Kid Icarus|Nintendo|none|C-
Kid Icarus|Nintendo|NES-KI-USA|C-
Kid Klown|Kemco|NES-NM-USA|B
Kid Kool and the Quest for the Seven Wonder Herbs|Vic Tokai|NES-KX-USA|C+
Kid Niki Radical Ninja|Data East|NES-KD-USA|C
King Neptune's Adventure (blue)|Color Dreams|Unlicensed|B+
King Neptune's Adventure (black)|Color Dreams|Unlicensed|B+
King of Kings: The Early Years (black)(baby) v1.1|Wisdom Tree|Unlicensed|B+
King of Kings: The Early Years (black)(camel)v1.2|Wisdom Tree|Unlicensed|B+
King of Kings: The Early Years (black)(baby) v1.3|Wisdom Tree|Unlicensed|B+
King of Kings: The Early Years (black)(camel)v1.3|Wisdom Tree|Unlicensed|B+
King's Knight|Square|NES-KG-USA|C+
King's Quest V|Konami|NES-8Q-USA|B+
Kings of the Beach|Ultra|NES-VH-USA|C
Kirby's Adventure|Nintendo|NES-KR-USA|B-
Kiwi Kraze: A Bird-Brained Adventure!|Taito|NES-2K-USA|B+
Klash Ball|Sofel|NES-4K-USA|B-
Klax (black)|Tengen|Unlicensed|B+
Knight Rider|Acclaim|NES-NR-USA|B-
Krazy Kreatures (black)|American Video|Unlicensed|B+
Krion Conquest, The|Vic Tokai|NES-VF-USA|B
Krusty's Fun House|Acclaim|NES-KF-USA|C+
Kung Fu|Nintendo|none|E
